state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
NH,2004,1219916,13424,3603,24398,28780,636276,653845,14592,60320,82435,94723,94783,79850,66250,82956,97592,114665,110747,95540,81205,58594,43769,36762,31662,23235,20441
UT,2016,2441082,41955,33414,114326,420440,1535894,1515323,51162,202288,263134,257113,238378,252981,227834,221011,225430,185503,162476,151584,153997,137162,112923,78279,55118,38466,36378
NM,2006,844971,39340,175880,27297,874649,968168,993969,28482,111143,130787,142775,151293,142672,130857,116588,122313,137620,146405,137282,126591,92997,74570,60178,47788,34239,27557
AK,2000,440409,24770,105487,31334,25963,324750,303213,9445,38083,53439,56861,50226,40231,42571,46337,55520,58471,53812,41834,27607,17420,12753,9982,6944,3761,2666
CA,2016,15333060,2434409,208531,5993244,15280773,19493361,19756656,498832,1988540,2539626,2522475,2579986,2812191,3069878,2847907,2650907,2509025,2606256,2589041,2515467,2173251,1820671,1268331,898262,637038,722333
MN,2016,4510279,368333,67227,284691,289422,2747630,2772322,69937,282567,359459,361035,355903,366974,365353,383059,359893,316813,346823,380595,396278,343035,281124,191124,139519,101097,119364
AR,2016,2211541,476508,24747,56891,218561,1467873,1520375,37737,152540,196543,197518,199113,203340,201935,190820,186984,177742,183202,195695,197906,180439,163301,120279,87460,59014,56680
MI,2000,7916651,1448192,65943,194614,327050,4880268,5072182,132503,538949,741365,749920,722243,648007,649448,706999,783741,812276,738696,639232,488954,378818,328204,313936,260899,174916,143344
TN,2016,5000643,1153227,19741,128858,348725,3242515,3408679,81020,326579,414825,420383,421958,454897,464897,427157,420390,410894,438398,456021,454511,412212,368437,259972,181434,121502,115707
MO,2008,4882234,708122,30670,105873,197017,2899079,3024837,79684,309406,385829,398368,431330,411050,399665,355243,380859,397070,452653,430134,372594,307696,241970,187243,154439,119348,109335
AK,2004,453472,26237,108702,37996,32879,341479,317807,9959,38298,48026,56422,54612,50900,42769,44478,47010,55607,57556,50513,37026,23962,14904,11045,7935,4946,3318
IA,2006,2713439,86276,9529,49686,123714,1471520,1511124,40159,153152,193815,204516,220540,221840,177014,175007,186626,209189,225787,213439,187230,135795,112154,96495,87948,71253,70685
TN,2002,4585658,971396,15739,70195,152930,2824045,2971873,76362,304831,385722,410675,393266,411743,379507,416294,435862,453376,433072,394085,327249,256337,210773,178936,145742,100066,82020
DE,2000,574660,153517,2617,17745,37834,381926,404447,10412,41130,55591,55614,55902,52218,50942,57599,64519,63195,55201,49852,39629,32400,29989,26536,21359,13661,10624
NH,2012,1225591,18669,3647,33130,40145,652358,668824,12421,53877,75012,81422,92571,86624,75591,73921,73536,92849,105549,114189,102813,86616,66275,43703,32311,25330,26572
NY,2002,11882752,2959477,70009,1218419,3007143,9234873,9902927,246708,965513,1280742,1373601,1311291,1291779,1265507,1413944,1507528,1532264,1394318,1261054,1031712,789441,655960,604745,519295,370501,321897
TX,2008,11484467,2864352,90055,942865,8927300,12059103,12249936,389296,1528319,1823831,1821807,1846558,1777634,1810114,1685788,1748350,1677080,1739074,1597310,1336272,1063618,779327,593305,466994,338651,285711
DE,2002,577785,161322,2753,20122,44187,391517,414652,10653,41719,53432,57967,57541,56313,48904,56087,62614,64804,59229,52264,44388,35192,29933,27197,21777,14826,11329
LA,2010,2771189,1472131,30664,76748,194264,2225070,2319926,61081,252869,306385,307791,324176,340829,334307,298675,276288,288076,323771,329791,294735,245803,179189,134408,102909,77580,66333
AK,2008,466407,27184,112419,44189,37256,358043,329412,10815,40304,48232,50783,53905,54291,51241,44137,46213,48082,55716,55447,46586,31381,19549,12249,8726,5513,4285
